🏥,hospital
🏦,bank
🏧,ATM
🏨,hotel
🏩,love hotel
🏪,convenience store
🏫,school
🏬,department store
🏭,factory
🏮,red paper lantern
🏯,Japanese castle
🏰,castle
🐱,cat
🐲,dragon
🐳,whale
🐴,horse
😀,grinning face
😁,beaming face with smiling eyes
😂,face with tears of joy
😃,grinning face with big eyes
😄,grinning face with smiling eyes
😅,grinning face with sweat
😆,grinning squinting face
😇,smiling face with halo
😈,smiling face with horns
😉,winking face
😊,smiling face with smiling eyes
😋,face savoring food
😌,relieved face
😍,heart-eyes
😎,smiling face with sunglasses
😏,smirking face
😐,neutral face
😑,expressionless face
😒,unamused face
😓,face with cold sweat
😔,pensive face
😕,confused face
😖,confounded face
😗,kissing face
😘,face blowing a kiss
😙,smiling face with smiling eyes
😚,kissing face with closed eyes
😛,face with stuck-out tongue
😜,winking face with stuck-out tongue
😝,squinting face with tongue
😞,disappointed face
😟,worried face
😠,angry face
😡,pouting face
😢,crying face
😣,persevering face
😤,steam from nose
😥,sad but relieved face
😦,frowning face with open mouth
😧,anguished face
😨,fearful face
😩,weary face
😪,sleepy face
😫,tired face
😬,grimacing face
😭,loudly crying face
😮,face with open mouth
😯,hushed face
😰,anxious face
😱,face screaming in fear
😲,astonished face
😳,flushed face
😴,sleeping face
😵,dizzy face
😶,face without mouth
😷,face with medical mask
🚀,rocket
🚁,helicopter
🚂,locomotive
🚃,railway car
🚄,bullet train
🚅,high-speed train
🚆,train
🚇,metro
🚈,light rail
🚉,station
🚊,tram
🚋,tram car
🚌,bus
🚍,oncoming bus
🚎,trolleybus
🚏,bus stop
🚐,minibus
🚑,ambulance
🚒,fire engine
🚓,police car
🚔,oncoming police car
🚕,taxi
🚖,oncoming taxi
🚗,automobile
🚘,oncoming automobile
🚙,sport utility vehicle
🚚,delivery truck
🚛,articulated lorry
🚜,farm tractor
🚝,monorail
🚞,mountain railway
🚟,suspension railway
🚠,mountain cableway
🚡,aerial tramway
🚢,ship
🚣,rowboat
🚤,speedboat
🚥,horizontal traffic light
🚦,vertical traffic light
🚧,construction
🚨,police car light
🚩,triangular flag
🚪,door
🚫,no entry
🚬,smoking symbol
🚭,no smoking
🚮,litter in bin sign
🚯,no littering
🚰,potable water
🚱,non-potable water
🚲,bicycle
🚳,no bicycles
🚴,person biking
🚵,person mountain biking
🚶,person walking
🚷,no pedestrians
🚸,children crossing
🚹,men's room
🚺,women's room
🚻,restroom
🚼,baby symbol
🚽,toilet
🚾,water closet
🚿,shower
🛀,person taking bath
🛁,bathtub
🛂,passport control
🛃,customs
🛄,baggage claim
🛅,left luggage
☀,sun
☁,cloud
☂,umbrella
❄,snowflake
☃,snowman
⛄,snowman without snow
☄,comet
🌊,water wave
🎄,Christmas tree
✨,sparkles
🎀,ribbon
🎁,wrapped gift
🎂,birthday cake
🎃,jack-o-lantern
🎄,Christmas tree
🎅,Santa Claus
🎆,fireworks
🎇,sparkler
🎈,balloon
🎉,party popper
🎊,confetti ball
🎋,tanabata tree
🎌,crossed flags
🎍,pine decoration
🎎,Japanese dolls
🎏,carp streamer
🎐,wind chime
🎑,moon viewing ceremony
🎒,backpack
🎓,graduation cap
🎯,bullseye
🎰,slot machine
🎱,pool 8 ball
🎲,game die
🎳,bowling
🎴,flower playing cards
🎵,musical notes
🎶,musical notes
🎷,saxophone
🎸,guitar
🎹,musical keyboard
🎺,trumpet
🎻,violin
🎼,musical score
🎽,man’s clothes
🎾,tennis
🎿,ski
🏀,basketball
🏁,checkered flag
🏂,snowboarder
🏃,person running
🏄,person surfing
🏆,trophy
🏇,horse racing
🏈,american football
🏉,rugby football
🏊,person swimming
🏋,person lifting weights
🏌,person golfing
🏍,motorcycle
🏎,racing car
🏏,cricket game
🏐,volleyball
🏑,field hockey
🏒,ice hockey
🏓,ping pong
🏔,snow-capped mountain
🏕,camping
🏖,beach
🏗,building construction
🏘,houses
🏙,cityscape
🏚,derelict house
🏛,classical building
🏜,desert
🏝,desert island
🏞,national park
🏟,stadium
🏠,house
🏡,house with garden
🏢,office building
🏣,Japanese post office
🏤,post office
🐵,monkey
🐶,dog
🐷,pig
🐸,frog
🐹,hamster
🐺,wolf
🐻,bear
🐼,panda
🐽,pig nose
🐾,paw prints
🐿,chipmunk
👀,eyes
👁,eye
👂,ear
👃,nose
👄,mouth
👅,tongue
👆,backhand index pointing up
👇,backhand index pointing down
👈,backhand index pointing left
👉,backhand index pointing right
👊,oncoming fist
👋,waving hand
👌,OK hand
👍,thumbs up
👎,thumbs down
👏,clapping hands
👐,open hands
👑,crown
👒,woman’s hat
👓,glasses
👔,necktie
👕,t-shirt
👖,jeans
👗,dress
👘,kimono
👙,bikini
👚,woman’s clothes
👛,purse
👜,handbag
👝,clutch bag
👞,man’s shoe
👟,running shoe
👠,high-heeled shoe
👡,woman’s sandal
👢,woman’s boot
👣,footprints
👤,bust in silhouette
👥,two people holding hands
👦,boy
👧,girl
👨,man
👩,woman
👪,family
👫,man and woman holding hands
👬,two men holding hands
👭,two women holding hands
👮,police officer
👯,woman with bunny ears
👰,bride
👱,person with blond hair
👲,man with gua pi mao
👳,man with turban
👴,old man
👵,old woman
👶,baby
👷,construction worker
👸,princess
👹,ogre
👺,goblin
👻,ghost
👼,baby angel
👽,alien
👾,alien monster
👿,angry face with horns
💀,skull
💁,person tipping hand
💂,guard
💃,woman dancing
💄,lipstick
💅,nail polish
💆,person getting massage
💇,person getting haircut
💈,barber pole
💉,syringe
💊,pill
💋,kiss mark
💌,love letter
💍,ring
💎,gemstone
💏,kiss
💐,bouquet
💑,couple with heart
💒,wedding
💓,beating heart
💔,broken heart
💕,two hearts
💖,sparkling heart
💗,growing heart
💘,heart with arrow
💙,blue heart
💚,green heart
💛,yellow heart
💜,purple heart
💝,heart with ribbon
💞,revolving hearts
💟,heart decoration
💠,diamond with a dot
💡,light bulb
💢,anger symbol
💣,bomb
💤,zzz
💥,collision
💦,droplet
💧,droplet
💨,dashing away
💩,pile of poo
💪,flexed biceps
💫,dizzy
💬,speech balloon
💭,thought balloon
💮,white flower
💯,hundred points
💰,money bag
💱,currency exchange
💲,heavy dollar sign
💳,credit card
💴,yen banknote
💵,dollar banknote
💶,euro banknote
💷,pound banknote
💸,money with wings
